real,imag
-594.0,115.0
-404.0,79.0
36.0,-6.0
499.0,-98.0
783.0,-153.0
823.0,-158.0
698.0,-132.0
560.0,-104.0
529.0,-99.0
613.0,-117.0
725.0,-139.0
749.0,-143.0
621.0,-118.0
361.0,-68.0
46.0,-8.0
-248.0,48.0
-474.0,90.0
-619.0,121.0
-677.0,133.0
-622.0,121.0
-429.0,84.0
-104.0,22.0
279.0,-51.0
584.0,-108.0
683.0,-129.0
517.0,-97.0
144.0,-25.0
-279.0,57.0
-577.0,115.0
-655.0,128.0
-545.0,106.0
-383.0,74.0
-318.0,64.0
-406.0,83.0
-566.0,114.0
-639.0,127.0
-499.0,100.0
-147.0,31.0
283.0,-56.0
601.0,-118.0
677.0,-132.0
500.0,-95.0
161.0,-31.0
-209.0,39.0
-505.0,96.0
-682.0,130.0
-727.0,139.0
-636.0,123.0
-407.0,81.0
-66.0,16.0
304.0,-58.0
581.0,-113.0
656.0,-129.0
496.0,-97.0
165.0,-31.0
-212.0,43.0
-516.0,101.0
-688.0,133.0
-725.0,141.0
-640.0,126.0
-424.0,84.0
-76.0,16.0
334.0,-62.0
657.0,-123.0
723.0,-134.0
464.0,-86.0
-9.0,5.0
-443.0,88.0
-588.0,118.0
-355.0,75.0
124.0,-21.0
572.0,-112.0
754.0,-144.0
595.0,-109.0
199.0,-33.0
-236.0,47.0
-553.0,107.0
-698.0,137.0
-695.0,140.0
-588.0,119.0
-392.0,78.0
-110.0,21.0
224.0,-43.0
520.0,-101.0
678.0,-131.0
643.0,-123.0
445.0,-84.0
193.0,-36.0
5.0,0.0
-54.0,12.0
-3.0,2.0
84.0,-15.0
140.0,-26.0
139.0,-26.0
106.0,-18.0
77.0,-13.0
73.0,-13.0
86.0,-16.0
99.0,-18.0
98.0,-17.0
88.0,-15.0
81.0,-14.0
82.0,-15.0
89.0,-16.0
95.0,-17.0
94.0,-16.0
89.0,-15.0
86.0,-14.0
87.0,-14.0
91.0,-16.0
93.0,-17.0
90.0,-16.0
86.0,-15.0
87.0,-15.0
92.0,-17.0
97.0,-18.0
98.0,-17.0
88.0,-15.0
74.0,-12.0
64.0,-10.0
75.0,-12.0
110.0,-18.0
147.0,-27.0
151.0,-29.0
92.0,-16.0
-35.0,9.0
-200.0,41.0
-360.0,73.0
-473.0,92.0
-518.0,100.0
-500.0,99.0
-450.0,88.0
-409.0,80.0
-403.0,78.0
-431.0,84.0
-463.0,91.0
-471.0,94.0
-442.0,89.0
