real,imag
-4.0,102.0
-3.0,110.0
-3.0,110.0
-4.0,100.0
-3.0,83.0
-2.0,70.0
-3.0,83.0
-5.0,124.0
-8.0,169.0
-8.0,173.0
-4.0,102.0
6.0,-47.0
18.0,-243.0
29.0,-431.0
38.0,-563.0
42.0,-616.0
39.0,-597.0
35.0,-540.0
34.0,-490.0
33.0,-482.0
34.0,-514.0
38.0,-553.0
41.0,-562.0
38.0,-528.0
35.0,-478.0
33.0,-457.0
32.0,-496.0
38.0,-583.0
45.0,-656.0
44.0,-645.0
34.0,-500.0
17.0,-227.0
-6.0,126.0
-31.0,485.0
-51.0,783.0
-61.0,964.0
-59.0,1002.0
-50.0,893.0
-36.0,658.0
-18.0,350.0
1.0,22.0
20.0,-283.0
34.0,-537.0
47.0,-721.0
54.0,-816.0
52.0,-777.0
37.0,-545.0
10.0,-120.0
-21.0,388.0
-47.0,774.0
-53.0,843.0
-32.0,534.0
4.0,-16.0
36.0,-523.0
45.0,-696.0
28.0,-426.0
-5.0,141.0
-38.0,685.0
-53.0,907.0
-43.0,700.0
-10.0,193.0
26.0,-351.0
48.0,-702.0
52.0,-781.0
43.0,-673.0
35.0,-526.0
33.0,-447.0
36.0,-454.0
38.0,-505.0
38.0,-545.0
38.0,-547.0
37.0,-525.0
34.0,-508.0
34.0,-510.0
34.0,-525.0
34.0,-537.0
37.0,-534.0
37.0,-525.0
38.0,-516.0
36.0,-512.0
35.0,-512.0
36.0,-513.0
35.0,-518.0
35.0,-525.0
36.0,-527.0
35.0,-523.0
33.0,-515.0
31.0,-514.0
31.0,-528.0
36.0,-548.0
40.0,-549.0
38.0,-518.0
31.0,-475.0
29.0,-460.0
31.0,-498.0
37.0,-580.0
44.0,-653.0
44.0,-650.0
33.0,-509.0
16.0,-226.0
-7.0,141.0
-30.0,500.0
-44.0,783.0
-53.0,953.0
-59.0,996.0
-58.0,907.0
-42.0,687.0
-21.0,363.0
1.0,-9.0
21.0,-347.0
34.0,-579.0
42.0,-674.0
42.0,-652.0
38.0,-573.0
33.0,-495.0
28.0,-451.0
27.0,-443.0
29.0,-467.0
33.0,-521.0
39.0,-596.0
42.0,-665.0
42.0,-664.0
34.0,-524.0
16.0,-225.0
-8.0,176.0
-31.0,560.0
-47.0,820.0
-54.0,907.0
-53.0,863.0
-48.0,769.0
-42.0,694.0
-40.0,662.0
-40.0,661.0
-41.0,678.0
-43.0,719.0
-47.0,793.0
-53.0,866.0
-52.0,872.0
-43.0,734.0
-25.0,433.0
-1.0,33.0
23.0,-351.0
42.0,-609.0
48.0,-698.0
44.0,-655.0
37.0,-561.0
31.0,-486.0
29.0,-453.0
31.0,-452.0
32.0,-471.0
36.0,-512.0
39.0,-587.0
42.0,-661.0
42.0,-665.0
35.0,-525.0
17.0,-225.0
-7.0,175.0
-30.0,560.0
-46.0,818.0
-52.0,906.0
-51.0,861.0
-47.0,766.0
-44.0,691.0
-40.0,661.0
-38.0,661.0
-39.0,677.0
-43.0,718.0
-49.0,792.0
-57.0,865.0
-57.0,868.0
-44.0,731.0
-23.0,432.0
1.0,30.0
23.0,-354.0
38.0,-612.0
44.0,-700.0
43.0,-657.0
37.0,-563.0
30.0,-487.0
28.0,-453.0
29.0,-451.0
31.0,-469.0
34.0,-513.0
40.0,-586.0
44.0,-660.0
45.0,-664.0
39.0,-525.0
19.0,-224.0
-8.0,177.0
-33.0,560.0
-50.0,817.0
-57.0,905.0
-54.0,861.0
-47.0,768.0
-42.0,693.0
-40.0,661.0
-41.0,660.0
-42.0,675.0
-42.0,719.0
-45.0,793.0
-48.0,867.0
-50.0,871.0
-44.0,731.0
-26.0,430.0
-1.0,31.0
23.0,-353.0
39.0,-612.0
45.0,-701.0
42.0,-657.0
37.0,-562.0
32.0,-487.0
31.0,-454.0
31.0,-453.0
31.0,-470.0
32.0,-514.0
34.0,-589.0
41.0,-662.0
42.0,-665.0
35.0,-526.0
17.0,-225.0
-8.0,180.0
-34.0,568.0
-51.0,824.0
-55.0,902.0
-53.0,852.0
-45.0,766.0
-42.0,702.0
-38.0,669.0
-37.0,650.0
-38.0,649.0
-42.0,692.0
-48.0,796.0
-53.0,907.0
-54.0,923.0
-44.0,751.0
-21.0,377.0
8.0,-91.0
33.0,-472.0
42.0,-600.0
29.0,-419.0
3.0,-10.0
-28.0,464.0
-53.0,840.0
-64.0,1032.0
-61.0,1034.0
-51.0,886.0
-36.0,638.0
-19.0,336.0
0.0,22.0
19.0,-274.0
34.0,-530.0
44.0,-723.0
50.0,-820.0
48.0,-770.0
36.0,-531.0
9.0,-115.0
-23.0,377.0
-47.0,760.0
-51.0,843.0
-32.0,548.0
2.0,-5.0
32.0,-528.0
45.0,-717.0
29.0,-439.0
-8.0,169.0
-41.0,757.0
-54.0,967.0
-37.0,662.0
2.0,20.0
38.0,-571.0
49.0,-758.0
30.0,-438.0
-10.0,191.0
-46.0,751.0
-57.0,924.0
-39.0,630.0
-2.0,46.0
31.0,-496.0
45.0,-704.0
33.0,-483.0
1.0,34.0
-32.0,582.0
-51.0,919.0
-56.0,967.0
-50.0,819.0
-40.0,657.0
-35.0,620.0
-40.0,720.0
-49.0,851.0
-51.0,880.0
-42.0,729.0
-24.0,422.0
-1.0,49.0
20.0,-297.0
36.0,-563.0
45.0,-736.0
46.0,-807.0
43.0,-743.0
33.0,-513.0
11.0,-130.0
-17.0,321.0
-40.0,683.0
-48.0,802.0
-37.0,605.0
-9.0,164.0
24.0,-334.0
47.0,-687.0
52.0,-780.0
43.0,-649.0
30.0,-458.0
27.0,-382.0
32.0,-486.0
41.0,-675.0
47.0,-762.0
43.0,-596.0
16.0,-181.0
-16.0,328.0
-42.0,703.0
-49.0,794.0
-36.0,585.0
-11.0,186.0
17.0,-250.0
38.0,-601.0
51.0,-810.0
55.0,-865.0
50.0,-758.0
34.0,-487.0
8.0,-84.0
-20.0,354.0
-38.0,681.0
-42.0,769.0
-32.0,583.0
-9.0,193.0
19.0,-253.0
43.0,-613.0
53.0,-815.0
52.0,-860.0
46.0,-761.0
31.0,-504.0
7.0,-95.0
-20.0,389.0
-41.0,771.0
-49.0,848.0
-31.0,543.0
3.0,-15.0
34.0,-527.0
47.0,-700.0
30.0,-425.0
-5.0,139.0
-39.0,669.0
-52.0,886.0
-41.0,697.0
-13.0,231.0
17.0,-284.0
41.0,-657.0
52.0,-828.0
52.0,-826.0
43.0,-700.0
28.0,-468.0
10.0,-135.0
-12.0,258.0
-32.0,608.0
-42.0,797.0
-40.0,756.0
-29.0,522.0
-12.0,224.0
1.0,1.0
6.0,-69.0
3.0,-8.0
-3.0,95.0
-7.0,161.0
-6.0,160.0
-4.0,120.0
-3.0,84.0
-4.0,80.0
-5.0,96.0
-6.0,111.0
-5.0,110.0
-4.0,98.0
-3.0,90.0
-3.0,91.0
-4.0,99.0
-4.0,106.0
-4.0,106.0
-4.0,100.0
-4.0,96.0
-4.0,97.0
-3.0,102.0
-4.0,104.0
-2.0,102.0
-2.0,98.0
-3.0,97.0
-4.0,101.0
-4.0,109.0
-4.0,110.0
-3.0,101.0
-2.0,83.0
-2.0,70.0
-2.0,83.0
-4.0,125.0
-7.0,169.0
-7.0,174.0
-5.0,104.0
3.0,-45.0
15.0,-241.0
27.0,-431.0
37.0,-562.0
41.0,-613.0
40.0,-594.0
36.0,-538.0
30.0,-490.0
27.0,-483.0
30.0,-514.0
36.0,-553.0
39.0,-562.0
37.0,-528.0
34.0,-476.0
32.0,-455.0
33.0,-497.0
37.0,-583.0
40.0,-656.0
39.0,-644.0
31.0,-500.0
15.0,-228.0
-5.0,127.0
-26.0,487.0
-42.0,784.0
-53.0,966.0
-55.0,1004.0
-48.0,893.0
-36.0,659.0
-20.0,351.0
-1.0,21.0
18.0,-285.0
33.0,-537.0
43.0,-721.0
46.0,-818.0
42.0,-779.0
29.0,-547.0
7.0,-121.0
-21.0,389.0
-43.0,775.0
-49.0,843.0
-31.0,534.0
2.0,-18.0
33.0,-526.0
43.0,-697.0
27.0,-426.0
-6.0,140.0
-37.0,684.0
-49.0,907.0
-37.0,701.0
-9.0,193.0
22.0,-351.0
44.0,-701.0
49.0,-781.0
41.0,-673.0
31.0,-527.0
27.0,-448.0
27.0,-454.0
31.0,-505.0
36.0,-546.0
38.0,-548.0
35.0,-525.0
29.0,-507.0
29.0,-511.0
31.0,-527.0
31.0,-538.0
29.0,-536.0
28.0,-526.0
29.0,-516.0
28.0,-513.0
28.0,-513.0
29.0,-514.0
32.0,-519.0
32.0,-526.0
33.0,-530.0
31.0,-525.0
33.0,-515.0
35.0,-512.0
35.0,-527.0
38.0,-547.0
37.0,-549.0
33.0,-519.0
30.0,-475.0
30.0,-460.0
32.0,-498.0
35.0,-581.0
40.0,-656.0
40.0,-652.0
32.0,-511.0
15.0,-227.0
-6.0,140.0
-26.0,501.0
-40.0,784.0
-51.0,955.0
-58.0,997.0
-53.0,907.0
-37.0,688.0
-17.0,363.0
4.0,-10.0
21.0,-349.0
33.0,-580.0
39.0,-674.0
38.0,-653.0
30.0,-575.0
24.0,-499.0
23.0,-453.0
24.0,-445.0
26.0,-468.0
28.0,-521.0
31.0,-597.0
36.0,-665.0
37.0,-664.0
30.0,-525.0
13.0,-226.0
-8.0,175.0
-29.0,561.0
-46.0,819.0
-53.0,908.0
-48.0,863.0
-41.0,769.0
-36.0,696.0
-35.0,663.0
-37.0,661.0
-39.0,677.0
-40.0,719.0
-43.0,793.0
-47.0,867.0
-48.0,871.0
-39.0,733.0
-21.0,433.0
0.0,32.0
19.0,-354.0
36.0,-613.0
43.0,-702.0
38.0,-658.0
31.0,-563.0
28.0,-487.0
25.0,-454.0
25.0,-453.0
26.0,-471.0
29.0,-514.0
37.0,-587.0
41.0,-661.0
39.0,-664.0
31.0,-526.0
14.0,-226.0
-8.0,176.0
-29.0,560.0
-43.0,818.0
-45.0,908.0
-43.0,863.0
-37.0,770.0
-31.0,696.0
-31.0,664.0
-32.0,661.0
-34.0,677.0
-35.0,720.0
-38.0,793.0
-42.0,868.0
-43.0,872.0
-38.0,733.0
-23.0,432.0
-1.0,32.0
21.0,-354.0
35.0,-613.0
41.0,-700.0
38.0,-657.0
31.0,-563.0
25.0,-489.0
25.0,-456.0
25.0,-454.0
25.0,-472.0
29.0,-515.0
35.0,-588.0
38.0,-662.0
38.0,-665.0
31.0,-526.0
14.0,-225.0
-8.0,175.0
-29.0,559.0
-42.0,818.0
-46.0,908.0
-47.0,863.0
-44.0,768.0
-40.0,693.0
-35.0,662.0
-32.0,662.0
-33.0,678.0
-35.0,721.0
-40.0,793.0
-44.0,867.0
-44.0,871.0
-38.0,731.0
-23.0,431.0
-2.0,30.0
20.0,-354.0
35.0,-614.0
40.0,-702.0
38.0,-657.0
32.0,-563.0
29.0,-487.0
28.0,-455.0
25.0,-453.0
24.0,-471.0
26.0,-514.0
31.0,-589.0
39.0,-663.0
39.0,-665.0
30.0,-527.0
12.0,-226.0
-8.0,180.0
-28.0,570.0
-44.0,824.0
-49.0,902.0
-45.0,853.0
-37.0,767.0
-33.0,703.0
-34.0,670.0
-35.0,652.0
-35.0,651.0
-36.0,695.0
-42.0,796.0
-47.0,906.0
-45.0,923.0
-35.0,752.0
-16.0,378.0
7.0,-91.0
26.0,-474.0
32.0,-602.0
23.0,-420.0
2.0,-10.0
-24.0,463.0
-44.0,841.0
-53.0,1036.0
-54.0,1036.0
-46.0,887.0
-33.0,637.0
-18.0,335.0
0.0,22.0
17.0,-272.0
32.0,-528.0
42.0,-722.0
46.0,-820.0
44.0,-770.0
31.0,-531.0
8.0,-114.0
-18.0,380.0
-41.0,763.0
-49.0,844.0
-31.0,547.0
1.0,-7.0
31.0,-529.0
43.0,-717.0
29.0,-441.0
-7.0,168.0
-43.0,756.0
-58.0,966.0
-40.0,662.0
0.0,20.0
36.0,-571.0
49.0,-759.0
29.0,-437.0
-9.0,192.0
-43.0,751.0
-51.0,926.0
-35.0,631.0
0.0,47.0
31.0,-496.0
42.0,-705.0
29.0,-482.0
0.0,35.0
-30.0,583.0
-50.0,919.0
-53.0,968.0
-42.0,822.0
-30.0,659.0
-28.0,620.0
-33.0,721.0
-42.0,852.0
-45.0,880.0
-36.0,730.0
-21.0,423.0
-2.0,51.0
16.0,-297.0
31.0,-564.0
41.0,-738.0
46.0,-806.0
42.0,-742.0
28.0,-514.0
8.0,-130.0
-17.0,322.0
-35.0,684.0
-41.0,803.0
-30.0,607.0
-7.0,167.0
18.0,-333.0
35.0,-686.0
40.0,-780.0
35.0,-652.0
25.0,-461.0
20.0,-384.0
28.0,-486.0
39.0,-674.0
41.0,-762.0
32.0,-597.0
11.0,-180.0
-15.0,329.0
-34.0,706.0
-39.0,796.0
-30.0,586.0
-9.0,186.0
14.0,-250.0
30.0,-602.0
39.0,-811.0
44.0,-864.0
43.0,-758.0
30.0,-486.0
7.0,-84.0
-18.0,354.0
-38.0,681.0
-42.0,769.0
-31.0,583.0
-9.0,193.0
16.0,-254.0
34.0,-614.0
47.0,-816.0
52.0,-862.0
45.0,-763.0
29.0,-507.0
6.0,-97.0
-19.0,388.0
-40.0,770.0
-45.0,849.0
-29.0,545.0
3.0,-15.0
29.0,-530.0
38.0,-702.0
25.0,-426.0
-5.0,138.0
-35.0,671.0
-48.0,886.0
-37.0,697.0
-11.0,231.0
18.0,-283.0
41.0,-658.0
49.0,-830.0
46.0,-827.0
38.0,-702.0
27.0,-470.0
8.0,-137.0
-13.0,257.0
-28.0,609.0
-38.0,797.0
-38.0,755.0
-28.0,521.0
-12.0,224.0
0.0,2.0
3.0,-70.0
0.0,-11.0
-4.0,94.0
-6.0,161.0
-7.0,161.0
-4.0,121.0
-3.0,87.0
-3.0,81.0
-4.0,97.0
-5.0,112.0
-5.0,111.0
-5.0,99.0
-4.0,89.0
-4.0,92.0
-5.0,100.0
-6.0,105.0
-5.0,105.0
-4.0,99.0
-4.0,95.0
-4.0,98.0
-4.0,103.0
-4.0,106.0
-4.0,103.0
-4.0,96.0
-5.0,95.0
-5.0,102.0
-5.0,109.0
-5.0,110.0
-4.0,101.0
-2.0,83.0
-2.0,72.0
-3.0,84.0
-5.0,126.0
-7.0,170.0
-8.0,174.0
-5.0,103.0
2.0,-47.0
13.0,-243.0
21.0,-432.0
27.0,-565.0
32.0,-617.0
33.0,-597.0
30.0,-540.0
26.0,-491.0
25.0,-483.0
27.0,-515.0
30.0,-555.0
30.0,-565.0
28.0,-531.0
22.0,-479.0
22.0,-458.0
27.0,-497.0
34.0,-583.0
38.0,-657.0
38.0,-644.0
27.0,-501.0
12.0,-228.0
-7.0,126.0
-24.0,488.0
-38.0,785.0
-49.0,965.0
-57.0,1002.0
-51.0,893.0
-33.0,660.0
-15.0,349.0
1.0,20.0
13.0,-285.0
26.0,-538.0
37.0,-722.0
47.0,-817.0
45.0,-777.0
33.0,-545.0
10.0,-119.0
-18.0,390.0
-36.0,776.0
-37.0,846.0
-23.0,536.0
3.0,-18.0
29.0,-526.0
38.0,-700.0
22.0,-427.0
-5.0,141.0
-33.0,685.0
-47.0,908.0
-35.0,701.0
-8.0,193.0
19.0,-352.0
38.0,-703.0
41.0,-783.0
36.0,-674.0
29.0,-527.0
24.0,-449.0
23.0,-456.0
26.0,-507.0
28.0,-548.0
27.0,-551.0
26.0,-527.0
27.0,-508.0
28.0,-511.0
29.0,-526.0
30.0,-538.0
29.0,-537.0
27.0,-528.0
29.0,-517.0
28.0,-513.0
26.0,-514.0
25.0,-515.0
23.0,-520.0
26.0,-527.0
26.0,-531.0
26.0,-527.0
27.0,-517.0
30.0,-513.0
31.0,-527.0
31.0,-549.0
30.0,-550.0
32.0,-518.0
29.0,-475.0
26.0,-460.0
30.0,-499.0
35.0,-581.0
39.0,-656.0
39.0,-651.0
32.0,-510.0
15.0,-225.0
-6.0,141.0
-25.0,501.0
-40.0,785.0
-50.0,955.0
-54.0,998.0
-48.0,910.0
-36.0,688.0
-19.0,364.0
1.0,-8.0
20.0,-348.0
32.0,-582.0
37.0,-676.0
37.0,-654.0
34.0,-574.0
29.0,-497.0
27.0,-452.0
26.0,-444.0
26.0,-468.0
31.0,-521.0
38.0,-597.0
43.0,-665.0
