corr,peak_idx,peak_val
abs,253,16234.47535315601
abs,645,16221.142795315322
abs,1037,16162.917734985966
abs,1429,16278.386179393157
abs,1821,16137.714823138695
abs,2213,16232.011477862154
abs,2605,16323.14153657
abs,2997,16084.350194729674
abs,3389,16282.285051775005
abs,3781,16318.37600776151
abs,4173,16033.506425588543
abs,4566,16323.933504198947
abs,4958,16232.798430194684
abs,5350,16111.926538022004
abs,5742,16322.903073819187
abs,6134,16184.527875211415
abs,6526,16182.302553482117
abs,6918,16311.18518120015
abs,7310,16160.004673449954
abs,7702,16247.132341464197
abs,8094,16203.570479291286
abs,8486,16181.79290274284
abs,8878,16320.989598521732
abs,9270,16105.512837277367
abs,9662,16251.758745089755
abs,10054,16324.681350738683
abs,10446,16059.09910485303
abs,10838,16298.454344508134
abs,11230,16284.314622658401
abs,11622,16077.487053183919
abs,12014,16335.885843989077
abs,12406,16239.934010156017
abs,12798,16114.640973533596
abs,13190,16304.879785484014
abs,13582,16186.04446215493
abs,13974,16177.841395195335
abs,14366,16283.87115320966
abs,14758,16203.307201995569
abs,15150,16288.058943402571
abs,15542,16185.660742714543
abs,15934,16219.427059859374
abs,16326,16327.286193834305
abs,16718,16108.968214620538
abs,17110,16270.189548802377
abs,17502,16312.442059936624
abs,17894,16092.439368780595
abs,18286,16336.671956687609
abs,18678,16261.196954860085
abs,19070,16078.467288375645
abs,19462,16348.709656397235
abs,19854,16233.385847677633
abs,20246,16146.343651130555
abs,20638,16311.869208183047
abs,21030,16209.24111827211
abs,21422,16236.924910967458
abs,21814,16267.187885793368
abs,22206,16189.930908933926
abs,22598,16292.077951488005
abs,22990,16172.366774822382
abs,23382,16216.878023703282
abs,23774,16340.352833800353
abs,24166,16122.128604810538
abs,24558,16271.405573125452
abs,24950,16332.021195242673
abs,25342,16077.80487759027
abs,25734,16350.693998991055
abs,26126,16260.92291626987
abs,26518,16121.15692039691
abs,26910,16363.197103288381
abs,27302,16236.686384492818
abs,27694,16190.96541593444
abs,28086,16342.619031604765
abs,28478,16201.171813369947
abs,28870,16262.655158115524
abs,29262,16236.113277508563
abs,29654,16213.772102023082
abs,30046,16342.475006339897
abs,30438,16172.946755895946
abs,30830,16267.258985487531
abs,31222,16347.04403949263
abs,31614,16133.835753016738
abs,32006,16337.326812742212
abs,32398,16306.522830199072
real,254,15028.099149891426
real,1430,15905.92545202787
real,2606,16306.520092167704
real,3781,16184.392458980004
real,4957,15517.151556019762
real,7702,15392.503793382559
real,8878,16112.977709787065
real,10054,16323.98189870796
real,11230,16019.773640817753
real,12405,15191.848252191188
real,15150,15650.482306452275
real,16326,16219.046006550054
real,17502,16298.789662728432
real,18678,15894.707194775936
real,19854,14976.664989498866
real,21422,14878.74955046451
real,22598,15836.154283394837
real,23774,16310.934340385798
real,24950,16235.230330291273
real,26126,15631.378514448374
real,28870,15221.309315358389
real,30046,16051.125391555273
real,31222,16343.337328724936
real,32398,16100.82519420786
imag,645,15957.663900956311
imag,1821,15162.601953485882
imag,4566,15683.293074906302
imag,5742,16228.76971376296
imag,6917,16277.087263905047
imag,8093,15759.473731735508
imag,9269,14752.288187066339
imag,10838,15056.036376354275
imag,12014,15946.082780127956
imag,13190,16274.572789838183
imag,14366,16197.57325715975
imag,15542,15588.179826634736
imag,18286,15356.01990317139
imag,19462,16105.25124903187
imag,20638,16311.692498139879
imag,21814,16064.013280651163
imag,22990,15314.708379679734
imag,25734,15577.49584293849
imag,26910,16210.977669383119
imag,28086,16329.59001025872
imag,29262,15852.10757232846
imag,30438,15009.941925935043
imag,32006,14957.111473233559
all,253,16234.47535315601
