corr,peak_idx,peak_val
abs,277,1640.4249484781567
abs,376,1681.015880935909
abs,445,1665.0986740382555
abs,716,1657.6518192872654
abs,977,1681.5156296732166
abs,1492,1664.6077095126577
abs,1655,1698.9284599812393
abs,1767,1636.2399854707503
abs,1825,1676.5045976872414
abs,1920,1698.0092888046893
abs,2952,1639.135373549593
abs,3164,1639.2227038182205
abs,3264,1696.855400780773
abs,4112,1685.8122723125073
abs,4188,1642.9564603251458
abs,4770,1673.9367859183176
abs,5900,1653.568236128379
abs,6320,1646.88249536848
abs,6386,1658.7766845752537
abs,6489,1641.0826669496814
abs,7494,1642.9552776456528
abs,7955,1710.4122761581111
abs,8063,1675.457213479088
abs,10312,1647.4060952829038
abs,10903,1646.2096405361724
abs,11233,1663.708254353641
abs,11325,1656.5993916905443
abs,11410,1643.097209679083
abs,13046,1640.6846191387538
abs,13380,1671.3531575746983
abs,13503,1653.7746800955276
abs,13761,1639.1849544091647
abs,14507,1642.3928125175878
abs,14584,1636.7802356948087
abs,14647,1639.7454830035367
abs,14709,1641.8510332066044
abs,15214,1651.073920676413
abs,15494,1663.747967993566
abs,15555,1745.1928564446978
abs,15959,1635.3633985264232
abs,16042,1651.5673306204392
abs,16144,1675.1000086162521
abs,16860,1653.7621364225251
abs,16924,1706.9087354202418
abs,17367,1719.9489482479387
abs,17969,1661.8838720810204
abs,18063,1669.924073775963
abs,18275,1649.7138244061118
abs,18652,1664.1779295262936
abs,18717,1688.6118798783432
abs,18769,1645.632047640282
abs,18909,1750.3950078954856
abs,18965,1714.1889479235836
abs,19227,1651.7287052464017
abs,19467,1656.508229881629
abs,19870,1688.207700070672
abs,20229,1670.7714062457064
abs,20344,1641.4958162310895
abs,20603,1686.1853047467227
abs,20803,1653.5098688504065
abs,20862,1702.9805497899913
abs,20950,1713.7921823751153
abs,21173,1656.9794535464189
abs,21834,1641.5777146685084
abs,21974,1730.9090415043024
abs,22056,1758.6476030728247
abs,22122,1719.0515962928728
abs,22593,1693.4049333509527
abs,22665,1633.9529225152446
abs,22815,1709.5837903808833
abs,22882,1635.1067160531425
abs,22997,1706.4088184482036
abs,23053,1809.6496808569632
abs,23110,1638.8801469350801
abs,23212,1709.9532546066607
abs,23500,1733.4575103452378
abs,23618,1732.4404452964516
abs,23692,1697.8106418305824
abs,23835,1665.5317117516533
abs,23899,1639.3107297273527
abs,24016,1672.3995696047523
abs,24251,1720.3965041530744
abs,24349,1648.391229105616
abs,24426,1664.954116288145
abs,25180,1649.2344007418967
abs,25405,1665.2063801117945
abs,25457,1673.8318798222278
abs,25732,1684.7433037531212
abs,25798,1639.6475548926048
abs,26083,1667.9815749798183
abs,26823,1668.102075625302
abs,26902,1639.2208092707647
abs,27128,1720.5167158437316
abs,27217,1722.657349621445
abs,27271,1667.5830647461346
abs,27388,1685.853201621988
abs,27444,1646.7360040639746
abs,27549,1666.325969748315
abs,27652,1671.5549530890294
abs,27832,1648.7840590166095
abs,28036,1638.5643698866725
abs,28274,1674.142495426723
abs,28534,1649.444666269786
abs,28625,1675.9277608795267
abs,28779,1667.0727921163664
abs,28949,1666.146965003097
abs,29053,1653.4170877268584
abs,30539,1643.8840734963965
abs,30663,1666.8137073043908
abs,30745,1678.0333561531859
abs,31122,1646.0947641301425
abs,31760,1641.9459726993648
abs,31925,1642.0648515243593
abs,32083,1682.4277943681902
abs,32293,1722.2658607180822
real,376,1590.3002869750662
real,445,1662.8656372845198
real,977,1666.9134569685339
real,1540,1628.4735234194604
real,3264,1694.3243105123022
real,4975,1594.1637403920695
real,6110,1622.6197442912298
real,6720,1589.5732831396967
real,7803,1591.2781378599393
real,9546,1615.2576857638392
real,10098,1589.340445069629
real,10656,1596.412355439021
real,11233,1661.3777755381664
real,12360,1605.9815671463016
real,13503,1649.1572761281418
real,14647,1639.5882912176282
real,15214,1649.4152823002214
real,16924,1706.7388877017202
real,18063,1668.848997018986
real,18652,1654.3996693914075
real,19227,1644.4042960032775
real,19783,1618.9826868015944
real,20344,1638.9292048820632
real,20903,1687.6454014091057
real,21990,1619.9826524294576
real,22056,1758.4796856029297
real,22122,1621.424416696109
real,22593,1691.047535789814
real,22665,1591.2415244888916
real,23212,1692.5238452223894
real,23723,1647.129896522421
real,23779,1606.645416565129
real,24349,1639.779689822781
real,25457,1670.4388701776907
real,26083,1625.0211247973746
real,27147,1661.9609804161626
real,27206,1677.3360944468159
real,27741,1628.166753653413
real,28274,1646.0468084004815
real,28855,1599.8780797576173
real,29432,1615.8166355192707
real,29982,1594.7852209977927
real,30539,1619.3498514593416
real,31122,1628.0857974161577
real,31713,1600.466902992377
real,32293,1715.3073575600233
imag,167,1620.5269411976951
imag,716,1656.967926739599
imag,1825,1658.8162074135116
imag,1902,1631.7235388482823
imag,2952,1603.185847854202
imag,3033,1601.6613712572307
imag,3543,1620.129399973645
imag,4122,1662.8683141741926
imag,4188,1592.4011869440885
imag,4694,1598.8843672681412
imag,5244,1614.442581387073
imag,5859,1623.9913867160953
imag,6386,1652.2341599089405
imag,6978,1628.9870618381133
imag,7494,1587.2535670137074
imag,8081,1606.2383353169575
imag,10388,1604.994606384942
imag,10934,1598.5029690511071
imag,11519,1627.8625852830316
imag,12129,1581.375494170241
imag,13263,1578.4939466282708
imag,13807,1616.9896568389813
imag,14338,1586.9981158927653
imag,14921,1573.0285765851904
imag,15494,1662.964723135642
imag,15555,1658.364917576889
imag,16058,1634.2865505459074
imag,16110,1577.6068819887898
imag,17184,1571.0834650705929
imag,17243,1580.8456494820493
imag,18909,1745.8828637175582
imag,18965,1647.2641991543196
imag,19468,1645.2717639498237
imag,20051,1621.2363157108546
imag,20603,1663.404963725471
imag,21173,1653.1010499744727
imag,21759,1608.893989533935
imag,22336,1593.235643402741
imag,22882,1624.8744166968313
imag,23500,1708.575608182617
imag,24016,1658.337727116425
imag,24626,1612.0128131086417
imag,25180,1648.4129112913645
imag,25732,1658.9313493559712
imag,25798,1599.4189932978402
imag,26309,1612.9345255082753
imag,26837,1574.8239655601806
imag,26903,1631.3787747120696
imag,27389,1572.3422053571812
imag,27444,1643.641107564924
imag,27499,1572.7312911381146
imag,28036,1629.0895522162766
imag,28534,1581.972451814354
imag,28625,1651.2906078948145
imag,29156,1602.5406783887734
imag,30301,1576.7752524100993
imag,30800,1590.974507362082
imag,30861,1608.0086384505726
imag,31397,1599.6592315751345
imag,31988,1573.7058182913825
imag,32052,1575.2751872795275
imag,32569,1622.7712635223468
all,167,1623.5554951720815
all,277,1640.4249484781567
all,376,1681.015880935909
all,445,1665.0986740382555
all,716,1657.6518192872654
all,977,1681.5156296732166
all,1492,1664.6077095126577
all,1540,1645.32974040714
all,1655,1698.9284599812393
all,1767,1636.2399854707503
all,1825,1676.5045976872414
all,1902,1678.4622601457054
all,1920,1698.0092888046893
all,2952,1639.135373549593
all,3033,1627.9404574729465
all,3164,1639.2227038182205
all,3264,1696.855400780773
all,3543,1627.2755278920852
all,4112,1685.8122723125073
all,4122,1664.2744671595854
all,4188,1642.9564603251458
all,4694,1598.9055205156048
all,4770,1673.9367859183176
all,4975,1606.2751557942797
all,5244,1621.1770160121791
all,5859,1638.0285816922715
all,5900,1653.568236128379
all,6110,1626.0349218927565
all,6320,1646.88249536848
all,6386,1658.7766845752537
all,6489,1641.0826669496814
all,6720,1622.7892269334218
all,6978,1632.08731759775
all,7494,1642.9552776456528
all,7803,1605.5781259693517
all,7955,1710.4122761581111
all,8063,1675.457213479088
all,8081,1642.4983190923494
all,9546,1615.2713101992492
all,10098,1590.67590307186
all,10312,1647.4060952829038
all,10388,1606.4692637226594
all,10656,1601.4493127328676
all,10903,1646.2096405361724
all,10934,1606.1650671188058
all,11233,1663.708254353641
all,11325,1656.5993916905443
all,11410,1643.097209679083
all,11519,1628.4362889064869
all,12129,1617.6542543514788
all,12360,1612.9462251170805
all,13046,1640.6846191387538
all,13263,1601.2276084882956
all,13380,1671.3531575746983
all,13503,1653.7746800955276
all,13761,1639.1849544091647
all,13807,1621.190421828048
all,14338,1595.5430063256688
all,14507,1642.3928125175878
all,14584,1636.7802356948087
all,14647,1639.7454830035367
all,14709,1641.8510332066044
all,14921,1577.022581634327
all,15214,1651.073920676413
all,15494,1663.747967993566
all,15555,1745.1928564446978
all,15959,1635.3633985264232
all,16042,1651.5673306204392
all,16058,1643.3504065373638
all,16110,1607.2219448974602
all,16144,1675.1000086162521
all,16860,1653.7621364225251
all,16924,1706.9087354202418
all,17184,1586.909628662719
all,17243,1587.9034518462438
all,17367,1719.9489482479387
all,17969,1661.8838720810204
all,18063,1669.924073775963
all,18275,1649.7138244061118
all,18652,1664.1779295262936
all,18717,1688.6118798783432
all,18769,1645.632047640282
all,18909,1750.3950078954856
all,18965,1714.1889479235836
all,19227,1651.7287052464017
all,19467,1656.508229881629
all,19468,1654.0859497337567
all,19783,1620.3994888977682
all,19870,1688.207700070672
all,20051,1623.7284907038043
all,20229,1670.7714062457064
all,20344,1641.4958162310895
all,20603,1686.1853047467227
all,20803,1653.5098688504065
all,20862,1702.9805497899913
all,20903,1688.6006522764992
all,20950,1713.7921823751153
all,21173,1656.9794535464189
all,21759,1608.9625267028828
all,21834,1641.5777146685084
all,21974,1730.9090415043024
all,21990,1709.3431624592997
all,22056,1758.6476030728247
all,22122,1719.0515962928728
all,22336,1603.794803003779
all,22593,1693.4049333509527
all,22665,1633.9529225152446
all,22815,1709.5837903808833
all,22882,1635.1067160531425
all,22997,1706.4088184482036
all,23053,1809.6496808569632
all,23110,1638.8801469350801
all,23212,1709.9532546066607
all,23500,1733.4575103452378
all,23618,1732.4404452964516
all,23692,1697.8106418305824
