name,description,correlation_mode,conjugate,flip,magnitude,peak_idx,peak_val
s3 corr,samples_3 & sync_sequence_3,valid,False,False,False,10414,32265.802078249813
s3 corr,samples_3 & sync_sequence_3,same,False,False,False,10450,32265.802078249813
s3 corr,samples_3 & sync_sequence_3,full,False,False,False,10485,32265.802078249813
s3 corr,samples_3 & sync_sequence_3,valid,False,False,True,10414,32265.802078249813
s3 corr,samples_3 & sync_sequence_3,same,False,False,True,10450,32265.802078249813
s3 corr,samples_3 & sync_sequence_3,full,False,False,True,10485,32265.802078249813
s3 corr,samples_3 & sync_sequence_3,valid,True,False,False,10414,32265.802078249813
s3 corr,samples_3 & sync_sequence_3,same,True,False,False,10450,32265.802078249813
s3 corr,samples_3 & sync_sequence_3,full,True,False,False,10485,32265.802078249813
s3 corr,samples_3 & sync_sequence_3,valid,True,False,True,10414,32265.802078249813
s3 corr,samples_3 & sync_sequence_3,same,True,False,True,10450,32265.802078249813
s3 corr,samples_3 & sync_sequence_3,valid,True,True,False,10615,29790.300487743345
s3 corr,samples_3 & sync_sequence_3,same,True,True,True,10651,29790.300487743345
s3 corr,samples_3 & sync_sequence_3,full,True,True,True,10686,29790.300487743345
