real,imag
-0.4178089753354576,-17.141730707419608
-1.8389876089054615,-71.72136125054858
-3.0768412133787386,-107.97432379874746
-2.857149413299269,-79.97275213824217
-1.2402714658216185,-2.613405304103992
0.13783225251788644,52.12375420322119
-0.4659616176454705,22.51220688947295
-2.9424606129878548,-70.13271806187055
-4.905782594667173,-121.94966504541405
-3.5776515337018227,-41.52721570171889
1.261311520472891,134.8664564466654
5.959703977271092,229.3375442643903
5.346599996665804,66.39707939736577
-2.162666679368152,-320.3880222778589
-10.844158814626573,-613.9101295550245
-9.867829360083944,-400.0865501044127
7.864084488139803,455.9547192347623
35.51157750558062,1505.5838159780646
49.32157108703652,1771.3365905318865
18.251386401259865,232.35052775088295
-77.20474867336311,-3510.9488510903484
-228.96581456335613,-8833.380767077619
-401.0733107419203,-14271.815083752763
-549.0814738196622,-18256.889356576623
-648.7781358093539,-19955.76790815973
-714.3189563469282,-19680.60400738676
-789.8613247695688,-18582.701168033767
-915.5798541771753,-17824.68276383923
-1088.1476893448857,-17776.668797568942
-1243.460412203838,-17765.715672972434
-1278.0002943815148,-16533.57516489156
-1100.956672429208,-13091.517343489231
-687.9821602815077,-7418.279794337912
-104.24040971784734,-576.0753745392487
517.9833314280684,5791.37187431213
1034.8060928307164,10240.741042941125
1348.6153237417789,12129.586908830952
1439.1220404006363,11746.565739299478
1357.3023991664834,9999.204050893342
1193.5772611055954,7919.64993935477
1041.26854010001,6270.870820582794
970.4312636505933,5391.033784115401
1014.063273272144,5243.3447661174005
1161.0910177328449,5554.104827116656
1353.8647896161733,5944.09960856896
1495.3811625562596,6001.646652632299
1477.2485708764216,5453.882953619911
1221.4512088981455,4218.398241926065
720.4185668650139,2409.5393106983406
53.13402804809608,328.94815812917335
-637.531744624123,-1610.797178922682
-1199.134297955127,-3024.38187102929
-1528.9351192366998,-3697.5127301751963
-1608.1107153045577,-3661.9411221319247
-1496.836640728778,-3161.9740735390856
-1299.3649297023321,-2534.953909834792
-1121.5012708807672,-2069.95763797245
-1039.2399176880297,-1913.646391107543
-1083.5553703746878,-2054.040398202753
-1236.0735004050396,-2362.1600371851337
-1431.2786323066357,-2652.0497700195915
-1568.4564481660523,-2736.4823578289834
-1539.3539528686592,-2473.7485575684163
-1269.4755571660726,-1808.2553572609725
-756.7287472570644,-797.9789075187664
-84.51658738957016,389.73115737869523
603.6354621123915,1524.5183647628894
1158.780611368759,2388.3404989111687
1482.9822146798251,2849.2622134146445
1559.4104855460628,2900.9468662410086
1445.504154046218,2650.3300157064014
1240.4991948696238,2264.4125529530215
1048.6889777379345,1906.1722265093147
952.7208678063167,1687.5140999366115
996.9004695439056,1650.4524367492584
1173.8024954418145,1768.409592249702
1414.5217523741792,1952.0569568570077
1594.6884279756334,2062.2514295340397
1570.1808849169831,1946.4278694052302
1240.6305053333897,1502.9757392939644
614.3843437866298,751.7254940194974
-164.65510547286124,-133.52320205881668
-855.0122096027335,-866.5613072617285
-1212.0531213386096,-1159.1891419190426
-1095.1500872052304,-853.1768537950866
-532.595374411206,-6.289219792085773
289.33475861541353,1118.455803792257
1105.9764001241213,2160.148305974332
1680.1829403390116,2807.9378369217848
1882.5616424255618,2913.2085369403217
1713.2724150452611,2513.5205499968665
1266.5541294715078,1772.355333063736
667.3395368712327,880.4299673638055
18.146201418474163,-23.67761266104075
-617.7020664391918,-871.0569286764423
-1195.0114291916123,-1620.1511095640406
-1650.3647172910023,-2195.039016279267
-1884.1963835723252,-2457.6431776934082
-1786.2392099561164,-2250.9953566230515
-1302.1087862332595,-1504.0902972399588
-505.7677898309163,-338.7806694967694
375.491246277602,902.9669147306638
1022.4733225319983,1763.4996348018162
1163.5245369130046,1879.9261981352165
727.1385330357989,1195.1036480929206
-84.6742700782449,39.30452007092201
-865.7488638710923,-995.3729462139138
-1203.3049772342722,-1351.5431388893462
-904.7991762656981,-819.8284231342632
-121.06484009402536,316.92565954030465
719.8902346469885,1413.8367440142008
1145.6336455221574,1819.4483819642169
910.6108533570806,1260.495995922565
145.08703466514356,21.767906981495454
-713.1904462010401,-1200.3530140695734
-1170.4103312257755,-1695.8956124230313
-964.3447631870374,-1160.9101059020616
-216.86670236436228,115.1288093889964
639.3784190877882,1412.1966945926524
1114.5468785081102,1996.6650334331198
943.0151808274177,1539.4968365458453
227.65195421689018,289.5822991635192
-631.0418281485522,-1084.2178906185309
-1168.9588214134917,-1873.8160968261643
-1111.4910703305422,-1706.7490304348812
-501.00146046407,-704.8031546169894
361.27743002448824,639.5190806145655
1106.1913958511445,1767.3053871489392
1497.011526230984,2344.678913361239
1525.2008305843788,2380.314941034142
1362.873290837203,2133.450128859749
1221.9057017389516,1903.222178984513
1216.7521516574127,1840.5257334989983
1310.3039475504133,1888.001230463813
1359.670954224732,1857.7142724155522
1216.7182357605193,1571.2501267790244
814.7590511270438,966.3824370765154
195.91893881115467,116.82771874580118
-519.8148454679543,-819.2723159905539
-1188.2817203093239,-1665.0753931081917
-1680.8713353593316,-2261.2875870780163
-1899.304575592115,-2472.4547492740353
-1781.7172232890512,-2200.480594481148
-1320.8536667464787,-1431.3204052350245
-594.3200243764444,-296.15227257044637
219.91817671964776,909.3053607145698
875.6506190062182,1795.972715607178
1145.0894326685655,2033.6400609751686
924.715919505128,1512.1538320697591
298.4607403673539,417.73088301931864
-489.8521411435245,-838.996409198479
-1151.7692374379908,-1819.4868563093435
-1497.062538423123,-2269.7142511657544
-1520.6576985293013,-2226.376811281636
-1380.285828779148,-1957.9031716530346
-1278.4930616615425,-1775.3067007172679
-1323.6061780787468,-1828.7803847468658
-1457.9227545813922,-2016.2923078823123
-1498.1490276195375,-2056.5548878329582
-1261.1327091212554,-1676.10135920716
-694.1896185144337,-796.9411900631692
71.35225779161823,384.7001957707794
774.0949046521023,1472.2743058803562
1148.3290068885146,2049.2594885947906
1047.3303010799914,1866.4714927197128
500.3894313984182,945.3241835482263
-313.8038193922472,-437.2587667730256
-1147.5781048580097,-1855.9340564064903
-1770.2338965727022,-2884.4232405877215
-2026.059635994934,-3229.8355419714685
-1858.9816601855152,-2813.053474592254
-1315.3989364226838,-1780.3760770405688
-533.8404281085304,-451.31241614755777
281.5383171392665,780.5195786827331
909.2366790652101,1567.1094918271754
1173.821630515818,1710.8438309988853
1001.6964177329008,1213.6757961089868
443.62848781464874,252.94691433345002
-345.6927546697757,-893.4736992767413
-1157.6253192200447,-1931.1672973628652
-1784.1133178789191,-2611.663664085713
-2060.392779072491,-2765.949432849017
-1896.9020461285447,-2327.8821875527046
-1308.272091100933,-1366.1592540199185
-434.8723679442254,-110.2704308457182
467.02741523207163,1070.6998910154496
1091.9018673776532,1767.8550417729055
1204.2963458247496,1700.2982593677966
761.3315402463679,878.0181361351729
-35.863052475025086,-346.43689873750463
-811.8018375641409,-1402.1617749772736
-1189.90997362526,-1764.0013883390945
-982.9543135678952,-1223.9469004678845
-293.0487508789046,-12.407511427521532
539.3035068763243,1305.70962673697
1109.510933605258,2107.408392232035
1147.1345337744187,2010.3766654022015
630.4625325532551,1036.530698121761
-232.67192338572733,-434.7227667333514
-1126.7450803475856,-1873.0581944879257
-1771.5032894414685,-2832.07577382826
-2011.9301495479037,-3093.2063053470574
-1830.9086017000468,-2676.3686317005504
-1311.2862978173582,-1761.3307429107003
-590.6362730507537,-594.708153026463
168.30776119403654,570.624892036724
798.862158807854,1506.7348412414435
1161.6064556550723,2041.0657668731587
1187.8970607914212,2099.567084327221
913.4513176077322,1741.5617797457035
472.6667590920593,1148.6088754395812
44.53123232904743,556.3451087491324
-225.9784292082638,157.14225248327327
-287.4994764826462,24.123574913388047
-189.72606708047994,102.80769529600103
-38.51285488665574,268.26616375357133
69.76442962526743,403.2523528222854
94.23710880034409,449.9861895788389
53.69623370431552,413.92511992438364
-3.8887364145460297,333.19457885735636
-39.52217077195762,244.72092805213828
-43.53961951787714,167.62958418764066
-30.740727667464203,106.0325005659341
-21.2685401855557,59.99232933672555
-24.419949509502526,30.5441902113478
-35.53465874559439,16.31167095569507
-44.0281799617465,11.477383587645024
-43.34002016189164,11.829436906972216
-35.011274315986626,22.820429359791373
-25.75880192988477,58.795161210765976
-21.78045088576611,127.11839071992891
-25.02592505755573,209.49699598313504
-33.05696753185233,263.57142823113765
