real,imag
667.0,-257.0
710.0,-295.0
652.0,-286.0
443.0,-213.0
121.0,-60.0
-230.0,123.0
-533.0,278.0
-702.0,380.0
-723.0,396.0
-647.0,375.0
-560.0,342.0
-516.0,313.0
-494.0,311.0
-494.0,317.0
-500.0,341.0
-545.0,398.0
-614.0,460.0
-646.0,491.0
-598.0,460.0
-422.0,326.0
-146.0,102.0
165.0,-151.0
420.0,-384.0
551.0,-524.0
566.0,-559.0
509.0,-513.0
441.0,-461.0
382.0,-438.0
340.0,-428.0
330.0,-426.0
352.0,-436.0
383.0,-498.0
434.0,-596.0
479.0,-656.0
447.0,-617.0
293.0,-432.0
42.0,-92.0
-217.0,301.0
-376.0,559.0
-372.0,555.0
-210.0,309.0
27.0,-71.0
243.0,-454.0
390.0,-738.0
426.0,-862.0
378.0,-798.0
292.0,-609.0
163.0,-364.0
23.0,-106.0
-92.0,166.0
-202.0,438.0
-280.0,667.0
-312.0,829.0
-314.0,883.0
-277.0,765.0
-174.0,467.0
-43.0,22.0
86.0,-428.0
167.0,-690.0
141.0,-626.0
41.0,-234.0
-77.0,325.0
-139.0,749.0
-118.0,755.0
-39.0,312.0
43.0,-340.0
78.0,-793.0
57.0,-784.0
10.0,-317.0
-33.0,352.0
-45.0,815.0
-26.0,790.0
-5.0,298.0
3.0,-349.0
-12.0,-773.0
-41.0,-748.0
-47.0,-298.0
-13.0,306.0
48.0,725.0
90.0,737.0
59.0,364.0
-37.0,-176.0
-124.0,-626.0
-166.0,-828.0
-169.0,-786.0
-144.0,-643.0
-119.0,-546.0
-123.0,-567.0
-167.0,-680.0
-212.0,-769.0
-219.0,-733.0
-175.0,-524.0
-82.0,-191.0
53.0,165.0
177.0,453.0
258.0,662.0
312.0,786.0
336.0,817.0
304.0,701.0
201.0,422.0
25.0,26.0
-185.0,-360.0
-327.0,-595.0
-340.0,-589.0
-200.0,-331.0
47.0,83.0
295.0,491.0
437.0,717.0
445.0,690.0
378.0,522.0
298.0,392.0
289.0,408.0
384.0,525.0
499.0,636.0
511.0,622.0
340.0,408.0
26.0,45.0
-287.0,-309.0
-479.0,-495.0
-467.0,-470.0
-269.0,-254.0
38.0,50.0
343.0,324.0
579.0,517.0
709.0,615.0
715.0,611.0
598.0,489.0
344.0,267.0
7.0,-1.0
-329.0,-249.0
-543.0,-389.0
-524.0,-363.0
-304.0,-211.0
42.0,23.0
413.0,240.0
672.0,377.0
792.0,445.0
787.0,438.0
663.0,356.0
394.0,193.0
-1.0,-27.0
-439.0,-227.0
-708.0,-321.0
-641.0,-277.0
-237.0,-103.0
297.0,92.0
665.0,215.0
664.0,208.0
281.0,71.0
-275.0,-103.0
-690.0,-229.0
-742.0,-240.0
-436.0,-147.0
56.0,-3.0
521.0,110.0
820.0,158.0
911.0,156.0
862.0,126.0
701.0,96.0
429.0,56.0
63.0,-3.0
-330.0,-55.0
-627.0,-75.0
-724.0,-68.0
-590.0,-44.0
-311.0,-16.0
-34.0,-14.0
128.0,-22.0
138.0,-34.0
48.0,-40.0
-45.0,-24.0
-96.0,-27.0
-100.0,-36.0
-59.0,-29.0
-20.0,-33.0
-14.0,-38.0
-27.0,-38.0
-29.0,-36.0
-14.0,-33.0
-13.0,-33.0
-9.0,-29.0
-5.0,-19.0
-25.0,-20.0
-31.0,-24.0
-31.0,-17.0
-46.0,-17.0
-46.0,-24.0
-36.0,-25.0
-27.0,-19.0
-29.0,-15.0
-44.0,-6.0
-49.0,-3.0
-39.0,-21.0
-38.0,-42.0
-51.0,-38.0
-43.0,-29.0
-24.0,-24.0
-3.0,-37.0
-3.0,-45.0
-38.0,-19.0
-76.0,18.0
-101.0,31.0
-86.0,21.0
2.0,-44.0
146.0,-147.0
303.0,-263.0
445.0,-361.0
520.0,-433.0
528.0,-465.0
493.0,-444.0
446.0,-425.0
416.0,-421.0
406.0,-415.0
430.0,-438.0
463.0,-474.0
436.0,-481.0
377.0,-463.0
338.0,-441.0
343.0,-444.0
391.0,-498.0
437.0,-581.0
452.0,-624.0
413.0,-576.0
280.0,-426.0
77.0,-183.0
-140.0,124.0
-332.0,410.0
-467.0,618.0
-527.0,733.0
-509.0,722.0
-413.0,591.0
-257.0,361.0
-95.0,79.0
52.0,-195.0
189.0,-459.0
299.0,-668.0
356.0,-798.0
357.0,-846.0
289.0,-756.0
143.0,-477.0
-35.0,-44.0
-208.0,402.0
-314.0,672.0
-285.0,605.0
-126.0,198.0
68.0,-349.0
198.0,-728.0
181.0,-711.0
40.0,-310.0
-107.0,257.0
-199.0,669.0
-208.0,712.0
-131.0,389.0
-16.0,-127.0
80.0,-597.0
98.0,-847.0
62.0,-854.0
23.0,-728.0
6.0,-597.0
4.0,-562.0
13.0,-609.0
5.0,-655.0
-28.0,-672.0
-53.0,-659.0
-60.0,-636.0
-54.0,-624.0
-59.0,-625.0
-70.0,-633.0
-84.0,-645.0
-96.0,-651.0
-86.0,-643.0
-97.0,-617.0
-112.0,-601.0
-121.0,-613.0
-139.0,-629.0
-161.0,-626.0
-183.0,-631.0
-204.0,-629.0
-208.0,-606.0
-188.0,-598.0
-192.0,-610.0
-216.0,-627.0
-231.0,-632.0
-237.0,-605.0
-236.0,-569.0
-241.0,-538.0
-251.0,-537.0
-271.0,-594.0
-318.0,-653.0
-352.0,-683.0
-333.0,-636.0
-262.0,-457.0
-137.0,-167.0
