real,imag
371.0,-548.0
488.0,-746.0
308.0,-513.0
-36.0,17.0
-334.0,533.0
-431.0,726.0
-283.0,500.0
-4.0,-13.0
252.0,-514.0
359.0,-721.0
270.0,-564.0
52.0,-113.0
-182.0,405.0
-321.0,743.0
-322.0,815.0
-259.0,696.0
-199.0,537.0
-170.0,504.0
-181.0,617.0
-207.0,756.0
-215.0,796.0
-166.0,644.0
-78.0,334.0
-1.0,-25.0
59.0,-360.0
99.0,-641.0
107.0,-842.0
95.0,-935.0
68.0,-884.0
31.0,-655.0
2.0,-267.0
-20.0,192.0
-14.0,565.0
-1.0,710.0
-1.0,538.0
-18.0,112.0
-53.0,-380.0
-78.0,-760.0
-93.0,-896.0
-97.0,-796.0
-101.0,-614.0
-102.0,-525.0
-123.0,-596.0
-173.0,-772.0
-209.0,-858.0
-190.0,-709.0
-93.0,-316.0
49.0,184.0
162.0,576.0
199.0,683.0
152.0,498.0
28.0,125.0
-127.0,-302.0
-272.0,-639.0
-383.0,-837.0
-432.0,-900.0
-401.0,-818.0
-296.0,-568.0
-125.0,-193.0
77.0,204.0
247.0,496.0
320.0,585.0
250.0,443.0
57.0,114.0
-191.0,-284.0
-421.0,-594.0
-577.0,-755.0
-627.0,-781.0
-566.0,-699.0
-421.0,-494.0
-172.0,-170.0
165.0,205.0
450.0,497.0
528.0,573.0
333.0,368.0
-72.0,-35.0
-475.0,-411.0
-627.0,-542.0
-441.0,-361.0
-13.0,7.0
418.0,352.0
623.0,497.0
485.0,390.0
107.0,120.0
-324.0,-181.0
-660.0,-409.0
-820.0,-505.0
-831.0,-484.0
-742.0,-394.0
-550.0,-265.0
-256.0,-109.0
101.0,71.0
431.0,237.0
634.0,313.0
637.0,279.0
426.0,173.0
138.0,62.0
-74.0,-21.0
-148.0,-39.0
-102.0,-8.0
-17.0,13.0
36.0,18.0
46.0,18.0
13.0,16.0
-16.0,11.0
-19.0,13.0
-6.0,30.0
11.0,31.0
16.0,13.0
9.0,3.0
0.0,16.0
-3.0,27.0
1.0,27.0
1.0,12.0
-8.0,1.0
-6.0,7.0
-2.0,12.0
-7.0,15.0
-5.0,1.0
0.0,-4.0
-4.0,15.0
-2.0,24.0
8.0,20.0
13.0,22.0
15.0,19.0
12.0,5.0
13.0,1.0
-10.0,11.0
-24.0,25.0
-13.0,25.0
16.0,18.0
62.0,3.0
80.0,-7.0
20.0,14.0
-123.0,68.0
-320.0,148.0
-508.0,231.0
-639.0,297.0
-687.0,334.0
-655.0,336.0
-598.0,311.0
-555.0,294.0
-558.0,306.0
-577.0,337.0
-587.0,370.0
-581.0,394.0
-554.0,384.0
-510.0,352.0
-473.0,350.0
-489.0,388.0
-561.0,457.0
-619.0,524.0
-595.0,534.0
-481.0,447.0
-266.0,262.0
7.0,18.0
284.0,-245.0
494.0,-486.0
608.0,-643.0
636.0,-682.0
566.0,-601.0
402.0,-442.0
185.0,-224.0
-31.0,37.0
-226.0,290.0
-380.0,516.0
-477.0,691.0
-517.0,798.0
-480.0,798.0
-355.0,624.0
-130.0,262.0
134.0,-200.0
337.0,-578.0
385.0,-682.0
238.0,-430.0
-20.0,73.0
-239.0,565.0
-310.0,759.0
-207.0,545.0
8.0,19.0
203.0,-525.0
282.0,-770.0
214.0,-611.0
40.0,-136.0
-121.0,412.0
-202.0,794.0
-209.0,913.0
-163.0,815.0
-104.0,659.0
-76.0,576.0
-79.0,584.0
-86.0,625.0
-74.0,664.0
-46.0,680.0
-29.0,667.0
-16.0,654.0
-7.0,652.0
-12.0,660.0
-6.0,662.0
18.0,665.0
33.0,666.0
49.0,660.0
61.0,648.0
62.0,634.0
79.0,645.0
100.0,656.0
113.0,658.0
126.0,650.0
140.0,641.0
162.0,631.0
170.0,629.0
185.0,653.0
195.0,672.0
191.0,666.0
197.0,625.0
206.0,577.0
214.0,557.0
243.0,580.0
282.0,651.0
317.0,723.0
333.0,720.0
288.0,603.0
175.0,358.0
15.0,6.0
-156.0,-348.0
-322.0,-597.0
-440.0,-737.0
-478.0,-789.0
-438.0,-732.0
-329.0,-538.0
-155.0,-246.0
62.0,73.0
271.0,348.0
421.0,533.0
499.0,611.0
515.0,607.0
476.0,541.0
428.0,472.0
400.0,425.0
399.0,403.0
432.0,407.0
489.0,436.0
559.0,478.0
623.0,510.0
634.0,499.0
541.0,409.0
312.0,202.0
-17.0,-58.0
-349.0,-279.0
-585.0,-418.0
-674.0,-462.0
-649.0,-439.0
-584.0,-379.0
-530.0,-321.0
-498.0,-291.0
-495.0,-286.0
-517.0,-283.0
-561.0,-295.0
-631.0,-324.0
-709.0,-337.0
-723.0,-324.0
-603.0,-258.0
-326.0,-140.0
64.0,3.0
443.0,134.0
702.0,212.0
814.0,236.0
792.0,221.0
691.0,173.0
610.0,124.0
584.0,101.0
587.0,100.0
608.0,102.0
644.0,93.0
710.0,85.0
785.0,94.0
795.0,85.0
668.0,57.0
362.0,22.0
-36.0,-10.0
-425.0,-24.0
-712.0,-19.0
-823.0,3.0
-788.0,19.0
-685.0,26.0
-603.0,26.0
-569.0,36.0
-567.0,64.0
-583.0,74.0
-630.0,76.0
-701.0,86.0
-764.0,117.0
-771.0,139.0
-649.0,122.0
-367.0,60.0
29.0,-26.0
419.0,-128.0
693.0,-228.0
803.0,-284.0
775.0,-291.0
676.0,-273.0
573.0,-258.0
529.0,-250.0
532.0,-261.0
552.0,-277.0
579.0,-302.0
631.0,-349.0
704.0,-402.0
706.0,-412.0
569.0,-340.0
299.0,-191.0
-33.0,11.0
-353.0,222.0
-578.0,391.0
-667.0,462.0
-632.0,454.0
-547.0,417.0
-478.0,389.0
-449.0,356.0
-437.0,352.0
-448.0,383.0
-489.0,428.0
-523.0,494.0
-549.0,552.0
-544.0,557.0
-448.0,470.0
-229.0,265.0
38.0,-34.0
282.0,-353.0
445.0,-581.0
497.0,-669.0
457.0,-648.0
371.0,-578.0
309.0,-531.0
291.0,-506.0
293.0,-502.0
299.0,-528.0
316.0,-570.0
336.0,-633.0
344.0,-715.0
339.0,-745.0
284.0,-632.0
148.0,-355.0
-35.0,32.0
-186.0,406.0
-267.0,667.0
-289.0,773.0
-254.0,745.0
-209.0,660.0
-176.0,593.0
-156.0,576.0
-150.0,563.0
-140.0,560.0
-127.0,610.0
-128.0,704.0
-138.0,808.0
-124.0,830.0
-91.0,669.0
-38.0,306.0
16.0,-176.0
31.0,-576.0
25.0,-719.0
17.0,-565.0
-4.0,-169.0
-11.0,310.0
11.0,703.0
37.0,934.0
54.0,961.0
63.0,810.0
52.0,567.0
29.0,270.0
-3.0,-54.0
-59.0,-363.0
-119.0,-624.0
-183.0,-820.0
-225.0,-917.0
-226.0,-878.0
-180.0,-664.0
-75.0,-277.0
68.0,200.0
199.0,601.0
245.0,719.0
163.0,458.0
-16.0,-66.0
-224.0,-568.0
-332.0,-763.0
-250.0,-525.0
