real,imag
19.0,-619.0
0.0,-576.0
-4.0,-562.0
-5.0,-562.0
-23.0,-595.0
-32.0,-662.0
-36.0,-732.0
-41.0,-767.0
-64.0,-694.0
-64.0,-462.0
-25.0,-104.0
37.0,277.0
96.0,586.0
125.0,758.0
130.0,756.0
134.0,661.0
125.0,594.0
125.0,561.0
144.0,533.0
165.0,524.0
174.0,548.0
196.0,615.0
232.0,682.0
259.0,697.0
262.0,617.0
179.0,408.0
33.0,77.0
-136.0,-276.0
-293.0,-552.0
-383.0,-688.0
-399.0,-681.0
-359.0,-600.0
-311.0,-526.0
-290.0,-487.0
-303.0,-462.0
-326.0,-455.0
-350.0,-474.0
-380.0,-527.0
-436.0,-577.0
-481.0,-591.0
-453.0,-532.0
-317.0,-359.0
-83.0,-91.0
188.0,212.0
406.0,448.0
537.0,548.0
559.0,535.0
505.0,463.0
443.0,406.0
413.0,384.0
411.0,358.0
417.0,334.0
435.0,335.0
497.0,376.0
595.0,444.0
660.0,474.0
606.0,397.0
371.0,233.0
-3.0,11.0
-373.0,-197.0
-582.0,-303.0
-548.0,-273.0
-277.0,-128.0
126.0,66.0
503.0,237.0
761.0,334.0
845.0,345.0
787.0,299.0
605.0,231.0
339.0,135.0
51.0,26.0
-223.0,-66.0
-484.0,-137.0
-722.0,-172.0
-869.0,-192.0
-876.0,-199.0
-734.0,-154.0
-426.0,-75.0
34.0,4.0
484.0,74.0
715.0,100.0
598.0,83.0
154.0,34.0
-416.0,-19.0
-784.0,-36.0
-724.0,-18.0
-229.0,3.0
413.0,3.0
807.0,-8.0
716.0,-21.0
194.0,-9.0
-433.0,39.0
-794.0,76.0
-689.0,76.0
-178.0,25.0
421.0,-62.0
759.0,-122.0
670.0,-113.0
209.0,-33.0
-356.0,90.0
-717.0,189.0
-691.0,189.0
-315.0,93.0
206.0,-52.0
630.0,-192.0
810.0,-265.0
741.0,-251.0
560.0,-205.0
457.0,-181.0
495.0,-213.0
615.0,-278.0
690.0,-312.0
622.0,-297.0
403.0,-207.0
99.0,-41.0
-210.0,137.0
-456.0,299.0
