real,imag
12.0,26.0
-18.0,4.0
-30.0,-3.0
-20.0,5.0
-3.0,14.0
0.0,15.0
-11.0,10.0
-20.0,6.0
-19.0,5.0
-12.0,9.0
-6.0,12.0
-5.0,11.0
-9.0,9.0
-16.0,8.0
-16.0,10.0
-11.0,12.0
-7.0,11.0
-9.0,9.0
-14.0,9.0
-16.0,9.0
-12.0,11.0
-4.0,14.0
0.0,13.0
-7.0,11.0
-24.0,1.0
-36.0,-5.0
-27.0,1.0
5.0,19.0
43.0,39.0
54.0,45.0
4.0,21.0
-119.0,-39.0
-294.0,-122.0
-473.0,-198.0
-609.0,-255.0
-674.0,-282.0
-666.0,-279.0
-616.0,-254.0
-569.0,-231.0
-560.0,-219.0
-590.0,-217.0
-628.0,-227.0
-641.0,-234.0
-616.0,-227.0
-570.0,-207.0
-544.0,-194.0
-573.0,-203.0
-650.0,-225.0
-727.0,-245.0
-736.0,-240.0
-623.0,-197.0
-380.0,-112.0
-50.0,-1.0
301.0,117.0
604.0,218.0
804.0,278.0
874.0,292.0
796.0,261.0
591.0,191.0
302.0,99.0
-21.0,6.0
-332.0,-75.0
-597.0,-141.0
-795.0,-194.0
-909.0,-224.0
-898.0,-217.0
-704.0,-166.0
-312.0,-68.0
187.0,57.0
604.0,161.0
739.0,192.0
499.0,129.0
-20.0,9.0
-550.0,-111.0
-795.0,-160.0
-605.0,-112.0
-79.0,-1.0
489.0,110.0
785.0,164.0
659.0,137.0
195.0,48.0
-364.0,-51.0
-765.0,-119.0
-900.0,-136.0
-823.0,-115.0
-677.0,-89.0
-583.0,-73.0
-574.0,-68.0
-619.0,-73.0
-663.0,-75.0
-674.0,-73.0
-653.0,-69.0
-631.0,-64.0
-627.0,-58.0
-645.0,-50.0
-670.0,-42.0
-682.0,-39.0
-672.0,-41.0
-648.0,-39.0
-631.0,-32.0
-637.0,-26.0
-663.0,-24.0
-685.0,-26.0
-671.0,-20.0
-624.0,-9.0
-582.0,-7.0
-595.0,-8.0
-684.0,-9.0
-809.0,-9.0
-866.0,-4.0
-738.0,3.0
-375.0,10.0
127.0,14.0
568.0,11.0
749.0,7.0
580.0,4.0
139.0,9.0
-373.0,20.0
-749.0,33.0
-886.0,42.0
-832.0,41.0
-711.0,40.0
-619.0,41.0
-583.0,45.0
-577.0,51.0
-583.0,54.0
-617.0,56.0
-702.0,63.0
-812.0,77.0
-857.0,87.0
-725.0,81.0
-376.0,50.0
107.0,1.0
538.0,-51.0
726.0,-79.0
588.0,-65.0
190.0,-12.0
-295.0,58.0
-698.0,118.0
-924.0,149.0
-962.0,157.0
-848.0,144.0
-625.0,113.0
-320.0,65.0
32.0,8.0
380.0,-52.0
654.0,-104.0
801.0,-134.0
811.0,-135.0
721.0,-116.0
612.0,-97.0
555.0,-90.0
579.0,-100.0
645.0,-117.0
696.0,-132.0
693.0,-130.0
636.0,-117.0
575.0,-108.0
574.0,-116.0
660.0,-141.0
795.0,-178.0
866.0,-198.0
743.0,-172.0
371.0,-82.0
-159.0,53.0
-627.0,181.0
-787.0,231.0
-532.0,166.0
17.0,9.0
560.0,-154.0
795.0,-226.0
589.0,-162.0
64.0,-4.0
-482.0,161.0
-757.0,249.0
-639.0,216.0
-211.0,81.0
308.0,-87.0
711.0,-224.0
903.0,-296.0
908.0,-299.0
797.0,-260.0
603.0,-199.0
329.0,-105.0
-17.0,23.0
-377.0,160.0
-653.0,266.0
-774.0,317.0
-736.0,306.0
-620.0,261.0
-538.0,232.0
-561.0,243.0
-665.0,288.0
-744.0,325.0
-678.0,301.0
-413.0,193.0
-8.0,18.0
399.0,-165.0
677.0,-295.0
766.0,-344.0
702.0,-316.0
587.0,-263.0
531.0,-240.0
578.0,-267.0
686.0,-323.0
748.0,-355.0
